Name,StandardCost,ListPrice
"HL Road Frame - Black, 58",1059.31,1431.50
"HL Road Frame - Red, 58",1059.31,1431.50
"Sport-100 Helmet, Red",13.0863,34.99
"Sport-100 Helmet, Black",13.0863,34.99
"Mountain Bike Socks, M",3.3963,9.50
"Mountain Bike Socks, L",3.3963,9.50
"Sport-100 Helmet, Blue",13.0863,34.99
AWC Logo Cap,6.9223,8.99
"Long-Sleeve Logo Jersey, S",38.4923,49.99
"Long-Sleeve Logo Jersey, M",38.4923,49.99
"Long-Sleeve Logo Jersey, L",38.4923,49.99
"Long-Sleeve Logo Jersey, XL",38.4923,49.99
"HL Road Frame - Red, 62",868.6342,1431.50
"HL Road Frame - Red, 44",868.6342,1431.50
"HL Road Frame - Red, 48",868.6342,1431.50
"HL Road Frame - Red, 52",868.6342,1431.50
"HL Road Frame - Red, 56",868.6342,1431.50
"LL Road Frame - Black, 58",204.6251,337.22
"LL Road Frame - Black, 60",204.6251,337.22
"LL Road Frame - Black, 62",204.6251,337.22
"LL Road Frame - Red, 44",187.1571,337.22
"LL Road Frame - Red, 48",187.1571,337.22
"LL Road Frame - Red, 52",187.1571,337.22
"LL Road Frame - Red, 58",187.1571,337.22
"LL Road Frame - Red, 60",187.1571,337.22
"LL Road Frame - Red, 62",187.1571,337.22
"ML Road Frame - Red, 44",352.1394,594.83
"ML Road Frame - Red, 48",352.1394,594.83
"ML Road Frame - Red, 52",352.1394,594.83
"ML Road Frame - Red, 58",352.1394,594.83
"ML Road Frame - Red, 60",352.1394,594.83
"LL Road Frame - Black, 44",204.6251,337.22
"LL Road Frame - Black, 48",204.6251,337.22
"LL Road Frame - Black, 52",204.6251,337.22
"HL Mountain Frame - Silver, 42",747.2002,1364.50
"HL Mountain Frame - Silver, 44",706.811,1364.50
"HL Mountain Frame - Silver, 48",706.811,1364.50
"HL Mountain Frame - Silver, 46",747.2002,1364.50
"HL Mountain Frame - Black, 42",739.041,1349.60
"HL Mountain Frame - Black, 44",699.0928,1349.60
"HL Mountain Frame - Black, 48",699.0928,1349.60
"HL Mountain Frame - Black, 46",739.041,1349.60
"HL Mountain Frame - Black, 38",739.041,1349.60
"HL Mountain Frame - Silver, 38",747.2002,1364.50
"Road-150 Red, 62",2171.2942,3578.27
"Road-150 Red, 44",2171.2942,3578.27
"Road-150 Red, 48",2171.2942,3578.27
"Road-150 Red, 52",2171.2942,3578.27
"Road-150 Red, 56",2171.2942,3578.27
