ProductID,Name,ListPrice,PriceType
680,"HL Road Frame - Black, 58",1431.50,High
706,"HL Road Frame - Red, 58",1431.50,High
707,"Sport-100 Helmet, Red",34.99,Normal
708,"Sport-100 Helmet, Black",34.99,Normal
709,"Mountain Bike Socks, M",9.50,Normal
710,"Mountain Bike Socks, L",9.50,Normal
711,"Sport-100 Helmet, Blue",34.99,Normal
712,AWC Logo Cap,8.99,Normal
713,"Long-Sleeve Logo Jersey, S",49.99,Normal
714,"Long-Sleeve Logo Jersey, M",49.99,Normal
715,"Long-Sleeve Logo Jersey, L",49.99,Normal
716,"Long-Sleeve Logo Jersey, XL",49.99,Normal
717,"HL Road Frame - Red, 62",1431.50,High
718,"HL Road Frame - Red, 44",1431.50,High
719,"HL Road Frame - Red, 48",1431.50,High
720,"HL Road Frame - Red, 52",1431.50,High
721,"HL Road Frame - Red, 56",1431.50,High
722,"LL Road Frame - Black, 58",337.22,Normal
723,"LL Road Frame - Black, 60",337.22,Normal
724,"LL Road Frame - Black, 62",337.22,Normal
725,"LL Road Frame - Red, 44",337.22,Normal
726,"LL Road Frame - Red, 48",337.22,Normal
727,"LL Road Frame - Red, 52",337.22,Normal
728,"LL Road Frame - Red, 58",337.22,Normal
729,"LL Road Frame - Red, 60",337.22,Normal
730,"LL Road Frame - Red, 62",337.22,Normal
731,"ML Road Frame - Red, 44",594.83,Normal
732,"ML Road Frame - Red, 48",594.83,Normal
733,"ML Road Frame - Red, 52",594.83,Normal
734,"ML Road Frame - Red, 58",594.83,Normal
735,"ML Road Frame - Red, 60",594.83,Normal
736,"LL Road Frame - Black, 44",337.22,Normal
737,"LL Road Frame - Black, 48",337.22,Normal
738,"LL Road Frame - Black, 52",337.22,Normal
739,"HL Mountain Frame - Silver, 42",1364.50,High
740,"HL Mountain Frame - Silver, 44",1364.50,High
741,"HL Mountain Frame - Silver, 48",1364.50,High
742,"HL Mountain Frame - Silver, 46",1364.50,High
743,"HL Mountain Frame - Black, 42",1349.60,High
744,"HL Mountain Frame - Black, 44",1349.60,High
745,"HL Mountain Frame - Black, 48",1349.60,High
746,"HL Mountain Frame - Black, 46",1349.60,High
747,"HL Mountain Frame - Black, 38",1349.60,High
748,"HL Mountain Frame - Silver, 38",1364.50,High
749,"Road-150 Red, 62",3578.27,High
750,"Road-150 Red, 44",3578.27,High
751,"Road-150 Red, 48",3578.27,High
752,"Road-150 Red, 52",3578.27,High
753,"Road-150 Red, 56",3578.27,High
754,"Road-450 Red, 58",1457.99,High
755,"Road-450 Red, 60",1457.99,High
756,"Road-450 Red, 44",1457.99,High
757,"Road-450 Red, 48",1457.99,High
758,"Road-450 Red, 52",1457.99,High
759,"Road-650 Red, 58",782.99,Normal
760,"Road-650 Red, 60",782.99,Normal
761,"Road-650 Red, 62",782.99,Normal
762,"Road-650 Red, 44",782.99,Normal
763,"Road-650 Red, 48",782.99,Normal
764,"Road-650 Red, 52",782.99,Normal
765,"Road-650 Black, 58",782.99,Normal
766,"Road-650 Black, 60",782.99,Normal
767,"Road-650 Black, 62",782.99,Normal
768,"Road-650 Black, 44",782.99,Normal
769,"Road-650 Black, 48",782.99,Normal
770,"Road-650 Black, 52",782.99,Normal
771,"Mountain-100 Silver, 38",3399.99,High
772,"Mountain-100 Silver, 42",3399.99,High
773,"Mountain-100 Silver, 44",3399.99,High
774,"Mountain-100 Silver, 48",3399.99,High
775,"Mountain-100 Black, 38",3374.99,High
776,"Mountain-100 Black, 42",3374.99,High
777,"Mountain-100 Black, 44",3374.99,High
778,"Mountain-100 Black, 48",3374.99,High
779,"Mountain-200 Silver, 38",2319.99,High
780,"Mountain-200 Silver, 42",2319.99,High
781,"Mountain-200 Silver, 46",2319.99,High
782,"Mountain-200 Black, 38",2294.99,High
783,"Mountain-200 Black, 42",2294.99,High
784,"Mountain-200 Black, 46",2294.99,High
785,"Mountain-300 Black, 38",1079.99,High
786,"Mountain-300 Black, 40",1079.99,High
787,"Mountain-300 Black, 44",1079.99,High
788,"Mountain-300 Black, 48",1079.99,High
789,"Road-250 Red, 44",2443.35,High
790,"Road-250 Red, 48",2443.35,High
791,"Road-250 Red, 52",2443.35,High
792,"Road-250 Red, 58",2443.35,High
793,"Road-250 Black, 44",2443.35,High
794,"Road-250 Black, 48",2443.35,High
795,"Road-250 Black, 52",2443.35,High
796,"Road-250 Black, 58",2443.35,High
797,"Road-550-W Yellow, 38",1120.49,High
798,"Road-550-W Yellow, 40",1120.49,High
799,"Road-550-W Yellow, 42",1120.49,High
800,"Road-550-W Yellow, 44",1120.49,High
801,"Road-550-W Yellow, 48",1120.49,High
802,LL Fork,148.22,Normal
803,ML Fork,175.49,Normal
804,HL Fork,229.49,Normal
805,LL Headset,34.20,Normal
806,ML Headset,102.29,Normal
807,HL Headset,124.73,Normal
808,LL Mountain Handlebars,44.54,Normal
809,ML Mountain Handlebars,61.92,Normal
810,HL Mountain Handlebars,120.27,Normal
811,LL Road Handlebars,44.54,Normal
812,ML Road Handlebars,61.92,Normal
813,HL Road Handlebars,120.27,Normal
814,"ML Mountain Frame - Black, 38",348.76,Normal
815,LL Mountain Front Wheel,60.745,Normal
816,ML Mountain Front Wheel,209.025,Normal
817,HL Mountain Front Wheel,300.215,Normal
818,LL Road Front Wheel,85.565,Normal
819,ML Road Front Wheel,248.385,Normal
820,HL Road Front Wheel,330.06,Normal
821,Touring Front Wheel,218.01,Normal
822,"ML Road Frame-W - Yellow, 38",594.83,Normal
823,LL Mountain Rear Wheel,87.745,Normal
824,ML Mountain Rear Wheel,236.025,Normal
825,HL Mountain Rear Wheel,327.215,Normal
826,LL Road Rear Wheel,112.565,Normal
827,ML Road Rear Wheel,275.385,Normal
828,HL Road Rear Wheel,357.06,Normal
829,Touring Rear Wheel,245.01,Normal
830,"ML Mountain Frame - Black, 40",348.76,Normal
831,"ML Mountain Frame - Black, 44",348.76,Normal
832,"ML Mountain Frame - Black, 48",348.76,Normal
833,"ML Road Frame-W - Yellow, 40",594.83,Normal
834,"ML Road Frame-W - Yellow, 42",594.83,Normal
835,"ML Road Frame-W - Yellow, 44",594.83,Normal
836,"ML Road Frame-W - Yellow, 48",594.83,Normal
837,"HL Road Frame - Black, 62",1431.50,High
838,"HL Road Frame - Black, 44",1431.50,High
839,"HL Road Frame - Black, 48",1431.50,High
840,"HL Road Frame - Black, 52",1431.50,High
841,"Men's Sports Shorts, S",59.99,Normal
842,"Touring-Panniers, Large",125.00,Normal
843,Cable Lock,25.00,Normal
844,Minipump,19.99,Normal
845,Mountain Pump,24.99,Normal
846,Taillights - Battery-Powered,13.99,Normal
847,Headlights - Dual-Beam,34.99,Normal
