AddressID,custgroup,CountryRegion
532,B,Canada
497,C,Canada
859,B,United States
604,B,United States
1038,A,United States
594,A,United States
559,B,United States
11,C,United States
855,A,United States
11380,B,United States
11381,C,United States
491,C,Canada
578,C,United States
905,C,United States
832,B,United States
896,C,United States
1000,B,United States
845,C,United States
447,A,Canada
1083,A,United States
611,C,United States
593,C,United States
858,A,United States
538,B,Canada
480,A,Canada
671,C,United Kingdom
579,A,United States
535,B,Canada
1009,B,United States
577,B,United States
482,C,Canada
789,A,United States
994,B,United States
519,A,Canada
871,B,United States
546,A,Canada
562,B,United States
472,B,Canada
863,C,United States
903,A,United States
584,C,United States
580,B,United States
600,A,United States
516,A,Canada
640,B,United Kingdom
484,B,Canada
847,B,United States
470,C,Canada
868,B,United States
475,B,Canada
451,B,Canada
1090,B,United States
1020,A,United States
1014,A,United States
526,B,Canada
565,B,United States
1079,C,United States
550,B,Canada
460,B,Canada
607,B,United States
474,A,Canada
663,A,United Kingdom
465,A,Canada
1094,C,United States
568,B,United States
573,A,United States
891,A,United States
866,C,United States
527,C,Canada
1025,C,United States
838,B,United States
608,C,United States
553,B,Canada
788,C,United States
513,A,Canada
1087,B,United States
843,A,United States
540,A,Canada
875,C,United States
529,B,Canada
478,B,Canada
1006,B,United States
638,C,United Kingdom
479,C,Canada
874,B,United States
455,C,Canada
587,C,United States
1082,C,United States
506,C,Canada
498,A,Canada
571,B,United States
459,A,Canada
461,C,Canada
1017,A,United States
1004,C,United States
1089,A,United States
1103,C,United States
900,A,United States
852,A,United States
517,B,Canada
552,A,Canada
668,C,United Kingdom
448,B,Canada
1080,A,United States
996,A,United States
1084,B,United States
846,A,United States
476,C,Canada
842,C,United States
869,C,United States
1081,B,United States
467,C,Canada
861,A,United States
541,B,Canada
835,B,United States
185,C,United States
32,C,Canada
508,B,Canada
544,B,Canada
856,B,United States
1073,C,United States
654,A,United Kingdom
833,C,United States
1070,C,United States
895,B,United States
454,B,Canada
551,C,Canada
862,B,United States
894,A,United States
836,C,United States
609,A,United States
666,A,United Kingdom
989,C,United States
785,C,United States
469,B,Canada
870,A,United States
1027,B,United States
878,C,United States
575,C,United States
849,A,United States
576,A,United States
522,A,Canada
1021,B,United States
533,C,Canada
610,B,United States
995,C,United States
873,A,United States
488,C,Canada
598,B,United States
1100,C,United States
665,C,United Kingdom
775,B,United States
1019,C,United States
523,B,Canada
877,B,United States
988,B,United States
591,A,United States
867,A,United States
854,C,United States
860,C,United States
1085,C,United States
542,C,Canada
564,A,United States
570,A,United States
457,B,Canada
446,C,Canada
990,A,United States
1013,C,United States
452,C,Canada
521,C,Canada
1091,C,United States
1075,B,United States
850,B,United States
1010,C,United States
1105,B,United States
853,B,United States
500,C,Canada
582,A,United States
1086,A,United States
450,A,Canada
648,A,United Kingdom
1071,A,United States
473,C,Canada
1003,B,United States
528,A,Canada
531,A,Canada
660,A,United Kingdom
486,A,Canada
458,C,Canada
991,B,United States
1102,B,United States
543,A,Canada
586,B,United States
998,C,United States
549,A,Canada
583,B,United States
1099,B,United States
548,C,Canada
566,C,United States
514,B,Canada
1018,B,United States
462,A,Canada
453,A,Canada
445,B,Canada
837,A,United States
505,B,Canada
602,C,United States
481,B,Canada
1072,B,United States
466,B,Canada
595,B,United States
557,C,Canada
864,A,United States
674,C,United Kingdom
520,B,Canada
558,A,Canada
1096,B,United States
1005,A,United States
456,A,Canada
797,C,United States
786,A,United States
1069,B,United States
525,A,Canada
601,B,United States
493,B,Canada
477,A,Canada
539,C,Canada
670,B,United Kingdom
656,C,United Kingdom
599,C,United States
512,C,Canada
898,B,United States
547,B,Canada
906,A,United States
997,B,United States
897,A,United States
1016,C,United States
596,C,United States
661,B,United Kingdom
563,C,United States
865,B,United States
510,A,Canada
1077,A,United States
885,A,United States
844,B,United States
872,C,United States
876,A,United States
1007,C,United States
471,A,Canada
1068,A,United States
1093,B,United States
605,C,United States
1012,B,United States
297,A,United States
857,C,United States
560,C,United States
1101,A,United States
1076,C,United States
756,A,United States
1023,A,United States
9,A,United States
561,A,United States
1008,A,United States
25,B,United States
28,B,United States
487,B,Canada
635,C,United Kingdom
902,C,United States
603,A,United States
1026,A,United States
483,A,Canada
501,A,Canada
524,C,Canada
1011,A,United States
507,A,Canada
672,A,United Kingdom
11382,A,United States
464,C,Canada
515,C,Canada
1015,B,United States
485,C,Canada
592,B,United States
1088,C,United States
904,B,United States
1078,B,United States
556,B,Canada
463,B,Canada
1074,A,United States
774,A,United States
1022,C,United States
1104,A,United States
907,B,United States
664,B,United Kingdom
834,A,United States
851,C,United States
606,A,United States
597,A,United States
518,C,Canada
555,A,Canada
1024,B,United States
489,A,Canada
1092,A,United States
776,C,United States
490,B,Canada
667,B,United Kingdom
794,C,United States
1095,A,United States
795,A,United States
588,A,United States
554,C,Canada
545,C,Canada
992,C,United States
590,C,United States
492,A,Canada
1060,B,United States
643,B,United Kingdom
1067,C,United States
1054,B,United States
848,C,United States
618,A,United States
494,C,Canada
641,C,United Kingdom
644,C,United Kingdom
511,B,Canada
653,C,United Kingdom
646,B,United Kingdom
1002,A,United States
1055,C,United States
625,B,United States
628,B,United States
1097,C,United States
993,A,United States
567,A,United States
534,A,Canada
1061,C,United States
889,B,United States
658,B,United Kingdom
650,C,United Kingdom
1030,B,United States
1048,B,United States
624,A,United States
1065,A,United States
1062,A,United States
632,C,United States
619,B,United States
615,A,United States
1040,C,United States
892,B,United States
642,A,United Kingdom
645,A,United Kingdom
639,A,United Kingdom
839,C,United States
840,A,United States
1043,C,United States
883,B,United States
890,C,United States
620,C,United States
801,A,United States
806,C,United States
1001,C,United States
669,A,United Kingdom
617,C,United States
631,B,United States
826,B,United States
649,B,United Kingdom
1056,A,United States
613,B,United States
1033,B,United States
886,B,United States
884,C,United States
887,C,United States
630,A,United States
626,C,United States
1028,C,United States
622,B,United States
882,A,United States
633,A,United States
1039,B,United States
1031,C,United States
651,A,United Kingdom
536,C,Canada
502,B,Canada
537,A,Canada
901,B,United States
585,A,United States
899,C,United States
1037,C,United States
1057,B,United States
1045,B,United States
623,C,United States
589,B,United States
1044,A,United States
1034,C,United States
503,C,Canada
572,C,United States
1053,A,United States
662,C,United Kingdom
673,B,United Kingdom
1041,A,United States
1051,B,United States
637,B,United Kingdom
1098,A,United States
581,C,United States
574,B,United States
468,A,Canada
825,A,United States
1066,B,United States
999,A,United States
810,A,United States
612,A,United States
1058,C,United States
1046,C,United States
880,B,United States
1052,C,United States
569,C,United States
636,A,United Kingdom
1032,A,United States
881,C,United States
616,B,United States
1036,B,United States
627,A,United States
629,C,United States
449,C,Canada
1047,A,United States
1042,B,United States
530,C,Canada
499,B,Canada
509,C,Canada
496,B,Canada
495,A,Canada
504,A,Canada
621,A,United States
1049,C,United States
1059,A,United States
888,A,United States
1029,A,United States
614,C,United States
657,A,United Kingdom
1050,A,United States
879,A,United States
1063,B,United States
1035,A,United States
647,C,United Kingdom
634,B,United States
659,C,United Kingdom
841,B,United States
1064,C,United States
655,B,United Kingdom
893,C,United States
652,B,United Kingdom
