SalesPerson,CompanyName,TotalSales
adventure-works\jae0,Action Bicycle Specialists,119960.824
adventure-works\jae0,Bulk Discount Store,98138.2131
adventure-works\jae0,Central Bicycle Specialists,43.0437
adventure-works\jae0,Channel Outlet,608.1766
adventure-works\jae0,Closest Bicycle Store,39531.6085
adventure-works\jae0,Essential Bike Works,45.1995
adventure-works\jae0,Instruments and Parts Company,70698.9922
adventure-works\jae0,Metropolitan Bicycle Supply,108597.9536
adventure-works\jae0,Nearby Cycle Shop,42452.6519
adventure-works\jae0,Riding Cycles,86222.8072
adventure-works\jae0,Sports Store,2711.4098
adventure-works\jae0,Tachometers and Accessories,2228.0566
adventure-works\jae0,Vigorous Sports Store,1170.5376
adventure-works\jae0,West Side Mart,87.0851
adventure-works\jae0,NULL,572496.5594
adventure-works\linda3,Aerobic Exercise Company,2361.6403
adventure-works\linda3,Eastside Department Store,92663.5609
adventure-works\linda3,Extreme Riding Supplies,63686.2708
adventure-works\linda3,Good Toys,972.785
adventure-works\linda3,Professional Sales and Service,43962.7901
adventure-works\linda3,Remarkable Bike Store,7330.8972
adventure-works\linda3,Sports Products Store,3673.3249
adventure-works\linda3,Thrifty Parts and Sales,1261.444
adventure-works\linda3,Thrilling Bike Tours,15275.1977
adventure-works\linda3,NULL,231187.9109
adventure-works\shu0,Coalition Bike Company,2669.3183
adventure-works\shu0,Discount Tours,3293.7761
adventure-works\shu0,Engineered Bike Systems,3754.9733
adventure-works\shu0,Futuristic Bikes,272.6468
adventure-works\shu0,Many Bikes Store,81834.9826
adventure-works\shu0,Paints and Solvents Company,14017.9083
adventure-works\shu0,The Bicycle Accessories Company,117.7276
adventure-works\shu0,Trailblazing Sports,45992.3665
adventure-works\shu0,Transport Bikes,665.4251
adventure-works\shu0,NULL,152619.1246
NULL,NULL,956303.5949
